EventTime,Coefficient,CI_Lower,CI_Upper
pre4,0,0,0
pre3,0,0,0
pre2,0,0,0
pre1,0,0,0
current,-0.0159987978031355,-0.0766515933559261,0.0446539977496552
post1,-0.0133177889837856,-0.0806411010268867,0.0540055230593155
post2,0.106525342107405,0.0383124439101267,0.174738240304684
post3,0.0857897739930507,0.0191715366988105,0.152408011287291
post4,0.243681801137709,0.186818987890762,0.300544614384657
post5,0.123159666274023,0.0454761436349606,0.200843188913086
post6,-0.0417677120395441,-0.207184659725473,0.123649235646385
